963.15,389.87,4.4036,0,0,0,0,0,0,-351.9,-45.629,-1.2512,0,0,0,-252.93,18.429,-5.569,0,0,0,0,0,0,0,0,0,0,0,0,-358.32,-362.67,2.4165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389.87,1084.1,-9.6191,0,0,0,0,0,0,-45.629,-157.61,0.5447,0,0,0,18.429,-151.69,2.6265,0,0,0,0,0,0,0,0,0,0,0,0,-362.67,-774.82,6.4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4036,-9.6191,270.94,0,0,0,0,0,0,-1.2512,0.5447,-94.909,0,0,0,-5.569,2.6265,-70.814,0,0,0,0,0,0,0,0,0,0,0,0,2.4165,6.4479,-105.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1122.1,4.1012,2.2427,0,0,0,0,0,0,0,0,0,-248.88,-63.077,-5.7268,-570.67,-91.265,-2.7318,0,0,0,0,0,0,-302.53,150.24,6.2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.1012,946.93,-20.918,0,0,0,0,0,0,0,0,0,-63.077,-398.15,4.9146,-91.265,-187.04,0.5735,0,0,0,0,0,0,150.24,-361.75,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.2427,-20.918,251.02,0,0,0,0,0,0,0,0,0,-5.7268,4.9146,-79.109,-2.7318,0.5735,-107.19,0,0,0,0,0,0,6.2159,15.43,-64.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,855.05,-40.952,3.8558,-178.88,-84.546,1.8542,0,0,0,0,0,0,-242.08,151.56,-4.4995,0,0,0,-434.09,-26.063,-1.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-40.952,1002.5,-14.367,-84.546,-404.7,6.1765,0,0,0,0,0,0,151.56,-402.19,6.2313,0,0,0,-26.063,-195.6,1.9588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.8558,-14.367,273.72,1.8542,6.1765,-113.6,0,0,0,0,0,0,-4.4995,6.2313,-74.671,0,0,0,-1.2105,1.9588,-85.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-351.9,-45.629,-1.2512,0,0,0,-178.88,-84.546,1.8542,792.5,-2.4264,2.7588,0,0,0,0,0,0,0,0,0,-261.72,132.6,-3.3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.629,-157.61,0.5447,0,0,0,-84.546,-404.7,6.1765,-2.4264,807.54,-10.239,0,0,0,0,0,0,0,0,0,132.6,-245.23,3.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.2512,0.5447,-94.909,0,0,0,1.8542,6.1765,-113.6,2.7588,-10.239,305.67,0,0,0,0,0,0,0,0,0,-3.3619,3.5176,-97.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1115.2,42.021,2.5442,0,0,0,0,0,0,-434.25,-239.7,3.7839,-197.85,79.677,-2.018,0,0,0,0,0,0,0,0,0,-483.11,118,-4.3102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,42.021,808.47,-12.28,0,0,0,0,0,0,-239.7,-321.43,3.5933,79.677,-371.2,6.5336,0,0,0,0,0,0,0,0,0,118,-115.84,2.1531,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.5442,-12.28,223.8,0,0,0,0,0,0,3.7839,3.5933,-108.59,-2.018,6.5336,-78.437,0,0,0,0,0,0,0,0,0,-4.3102,2.1531,-36.774,0,0,0,0,0,0,0,0,0
-252.93,18.429,-5.569,-248.88,-63.077,-5.7268,0,0,0,0,0,0,0,0,0,1135,125.93,52.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-633.2,-81.282,-41.567,0,0,0,0,0,0,0,0,0,0,0,0
18.429,-151.69,2.6265,-63.077,-398.15,4.9146,0,0,0,0,0,0,0,0,0,125.93,663.25,-3.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.282,-113.42,-4.3859,0,0,0,0,0,0,0,0,0,0,0,0
-5.569,2.6265,-70.814,-5.7268,4.9146,-79.109,0,0,0,0,0,0,0,0,0,52.863,-3.1553,171.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.567,-4.3859,-21.822,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-570.67,-91.265,-2.7318,-242.08,151.56,-4.4995,0,0,0,0,0,0,0,0,0,812.74,-60.296,7.2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-91.265,-187.04,0.5735,151.56,-402.19,6.2313,0,0,0,0,0,0,0,0,0,-60.296,589.23,-6.8048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.7318,0.5735,-107.19,-4.4995,6.2313,-74.671,0,0,0,0,0,0,0,0,0,7.2313,-6.8048,181.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-261.72,132.6,-3.3619,-434.25,-239.7,3.7839,0,0,0,0,0,0,695.97,107.09,-0.42207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,132.6,-245.23,3.5176,-239.7,-321.43,3.5933,0,0,0,0,0,0,107.09,566.66,-7.1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.3619,3.5176,-97.16,3.7839,3.5933,-108.59,0,0,0,0,0,0,-0.42207,-7.1109,205.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-434.09,-26.063,-1.2105,0,0,0,-197.85,79.677,-2.018,0,0,0,0,0,0,0,0,0,937.49,217.73,-1.9533,0,0,0,0,0,0,0,0,0,0,0,0,-305.56,-271.35,5.1818,0,0,0,0,0,0
0,0,0,0,0,0,-26.063,-195.6,1.9588,0,0,0,79.677,-371.2,6.5336,0,0,0,0,0,0,0,0,0,217.73,1040.2,-18.029,0,0,0,0,0,0,0,0,0,0,0,0,-271.35,-473.37,9.5368,0,0,0,0,0,0
